artifact ID,filename,folder,source file,source heading,original line range or source boundary,document family,purpose,product layer,likely FS section,generation,authority status,maturity percentage,confidence in assessment,missing to reach 75%,missing to reach 100%,duplication notes,conflict notes,recommended action
PV10-0032,FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Fintech Institutionalization Truth Model,File: 03_TRUTH_MODELS/FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Fintech Institutionalization Truth Model,Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Canonical Input,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0033,INNOVATION_TO_INSTITUTION_BRIDGE.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Innovation-to-Institution Bridge Truth Model,File: 03_TRUTH_MODELS/INNOVATION_TO_INSTITUTION_BRIDGE.md,Ontology and Truth Models,Defines or inventories Innovation-to-Institution Bridge Truth Model,Ontology and Truth Models,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,23,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0034,INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institution Lifecycle Truth Model,File: 03_TRUTH_MODELS/INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Institution Lifecycle Truth Model,Ontology and Truth Models,FS-8000,Post–Volume 10 institutional intelligence package,Canonical Input,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0035,LENDING_CREDIT_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Lending and Credit Truth Model,File: 03_TRUTH_MODELS/LENDING_CREDIT_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Lending and Credit Truth Model,Ontology and Truth Models,FS-8000,Post–Volume 10 institutional intelligence package,Superseded,20,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0036,PARTNERSHIP_PILOT_INVESTMENT_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Partnership, Pilot, and Investment Truth Model",File: 03_TRUTH_MODELS/PARTNERSHIP_PILOT_INVESTMENT_TRUTH_MODEL.md,Ontology and Truth Models,"Defines or inventories Partnership, Pilot, and Investment Truth Model",Ontology and Truth Models,FS-6000,Post–Volume 10 institutional intelligence package,Canonical Input,20,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0037,REGULATORY_INTELLIGENCE_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Regulatory Intelligence Truth Model,File: 03_TRUTH_MODELS/REGULATORY_INTELLIGENCE_TRUTH_MODEL.md,Workflows,Defines or inventories Regulatory Intelligence Truth Model,Workflows,FS-6000,Post–Volume 10 institutional intelligence package,Superseded,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0038,EVIDENCE_CONFIDENCE_AND_FRESHNESS.md,04_RULES,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Evidence, Confidence, and Freshness Rules",File: 04_RULES/EVIDENCE_CONFIDENCE_AND_FRESHNESS.md,"Documents, Evidence and Knowledge","Defines or inventories Evidence, Confidence, and Freshness Rules","Documents, Evidence and Knowledge",FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,23,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0039,INSTITUTIONAL_RULE_LIBRARY.md,04_RULES,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Rule Library,File: 04_RULES/INSTITUTIONAL_RULE_LIBRARY.md,"Documents, Evidence and Knowledge",Defines or inventories Institutional Rule Library,"Documents, Evidence and Knowledge",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0040,READINESS_AND_FIT_SCORING.md,04_RULES,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Readiness and Fit Scoring Specification,File: 04_RULES/READINESS_AND_FIT_SCORING.md,"Data, Connectors and Graph",Defines or inventories Readiness and Fit Scoring Specification,"Data, Connectors and Graph",FS-12000,Post–Volume 10 institutional intelligence package,Active Draft,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0041,01_PUBLIC_INSTITUTION_PROFILE.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,01 Public Institution Profile,File: 05_WORKFLOWS/01_PUBLIC_INSTITUTION_PROFILE.md,Agents,Defines or inventories 01 Public Institution Profile,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0042,02_PRIVATE_TERMINAL_ONBOARDING.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,02 Private Terminal Onboarding,File: 05_WORKFLOWS/02_PRIVATE_TERMINAL_ONBOARDING.md,Agents,Defines or inventories 02 Private Terminal Onboarding,Agents,FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0043,03_FINTECH_QUALIFICATION.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,03 Fintech Qualification,File: 05_WORKFLOWS/03_FINTECH_QUALIFICATION.md,Agents,Defines or inventories 03 Fintech Qualification,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0044,04_INSTITUTION_FINTECH_MATCH.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,04 Institution Fintech Match,File: 05_WORKFLOWS/04_INSTITUTION_FINTECH_MATCH.md,Agents,Defines or inventories 04 Institution Fintech Match,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0045,05_PILOT_EXECUTION.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,05 Pilot Execution,File: 05_WORKFLOWS/05_PILOT_EXECUTION.md,Agents,Defines or inventories 05 Pilot Execution,Agents,FS-12000,Post–Volume 10 institutional intelligence package,Active Draft,38,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0046,06_VENDOR_DUE_DILIGENCE.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,06 Vendor Due Diligence,File: 05_WORKFLOWS/06_VENDOR_DUE_DILIGENCE.md,Agents,Defines or inventories 06 Vendor Due Diligence,Agents,FS-12000,Post–Volume 10 institutional intelligence package,Active Draft,38,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0047,07_CUSO_PARTNERSHIP.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,07 Cuso Partnership,File: 05_WORKFLOWS/07_CUSO_PARTNERSHIP.md,Agents,Defines or inventories 07 Cuso Partnership,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0048,08_INVESTMENT_COMMITTEE.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,08 Investment Committee,File: 05_WORKFLOWS/08_INVESTMENT_COMMITTEE.md,Agents,Defines or inventories 08 Investment Committee,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0049,09_REGULATORY_CHANGE.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,09 Regulatory Change,File: 05_WORKFLOWS/09_REGULATORY_CHANGE.md,Workflows,Defines or inventories 09 Regulatory Change,Workflows,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0050,10_AURIC_PUBLICATION.md,05_WORKFLOWS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,10 Auric Publication,File: 05_WORKFLOWS/10_AURIC_PUBLICATION.md,Agents,Defines or inventories 10 Auric Publication,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,35,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0051,AGENT_CATALOG.csv,06_AGENTS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,AGENT_CATALOG,File: 06_AGENTS/AGENT_CATALOG.csv,Workflows,Defines or inventories AGENT_CATALOG,Workflows,FS-5000,Post–Volume 10 institutional intelligence package,Active Draft,60,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0052,AGENT_LIBRARY_SPEC.md,06_AGENTS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Agent Library Specification,File: 06_AGENTS/AGENT_LIBRARY_SPEC.md,Agents,Defines or inventories Institutional Agent Library Specification,Agents,FS-4000,Post–Volume 10 institutional intelligence package,Active Draft,32,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0053,MARKET_GRAPH_SCHEMA.md,07_PROFILES_GRAPH,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Market Graph Schema,File: 07_PROFILES_GRAPH/MARKET_GRAPH_SCHEMA.md,"Data, Connectors and Graph",Defines or inventories Institutional Market Graph Schema,"Data, Connectors and Graph",FS-9000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0054,PROFILE_SCHEMAS.md,07_PROFILES_GRAPH,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Profile Schemas,File: 07_PROFILES_GRAPH/PROFILE_SCHEMAS.md,Workflows,Defines or inventories Institutional Profile Schemas,Workflows,FS-12000,Post–Volume 10 institutional intelligence package,Active Draft,50,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0055,CONNECTOR_PRIORITY_BACKLOG.md,08_SOURCES_CONNECTORS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Connector Priority Backlog,File: 08_SOURCES_CONNECTORS/CONNECTOR_PRIORITY_BACKLOG.md,"Data, Connectors and Graph",Defines or inventories Connector Priority Backlog,"Data, Connectors and Graph",FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,50,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,permission/approval matrices; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0056,PUBLIC_SOURCE_MAP.md,08_SOURCES_CONNECTORS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Public and Permissioned Source Map,File: 08_SOURCES_CONNECTORS/PUBLIC_SOURCE_MAP.md,"Data, Connectors and Graph",Defines or inventories Public and Permissioned Source Map,"Data, Connectors and Graph",FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,60,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0057,ACCEPTANCE_TESTS.md,09_BUILD_HANDOFF,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Intelligence Acceptance Tests,File: 09_BUILD_HANDOFF/ACCEPTANCE_TESTS.md,"Data, Connectors and Graph",Defines or inventories Institutional Intelligence Acceptance Tests,"Data, Connectors and Graph",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0058,CLAUDE_NEXT_THREAD_PROMPT.md,09_BUILD_HANDOFF,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Claude Next-Thread Prompt,File: 09_BUILD_HANDOFF/CLAUDE_NEXT_THREAD_PROMPT.md,"Data, Connectors and Graph",Defines or inventories Claude Next-Thread Prompt,"Data, Connectors and Graph",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0059,IMPLEMENTATION_BACKLOG.md,09_BUILD_HANDOFF,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Implementation Backlog,File: 09_BUILD_HANDOFF/IMPLEMENTATION_BACKLOG.md,Workflows,Defines or inventories Implementation Backlog,Workflows,FS-8000,Post–Volume 10 institutional intelligence package,Historical Foundation,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0060,WEEK_COMPLETION_PLAN.md,09_BUILD_HANDOFF,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutional Intelligence Week Completion Plan,File: 09_BUILD_HANDOFF/WEEK_COMPLETION_PLAN.md,Workflows,Defines or inventories Institutional Intelligence Week Completion Plan,Workflows,FS-4000,Post–Volume 10 institutional intelligence package,Historical Foundation,50,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0061,MANIFEST.json,.,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,MANIFEST,File: MANIFEST.json,Workflows,Defines or inventories MANIFEST,Workflows,FS-8000,Post–Volume 10 institutional intelligence package,Canonical Input,60,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,permission/approval matrices; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0062,README.md,.,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Dispatch Institutional Intelligence V1,File: README.md,Workflows,Defines or inventories Dispatch Institutional Intelligence V1,Workflows,FS-4000,Post–Volume 10 institutional intelligence package,Active Draft,57,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0063,domain_registry.json,data,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,domain_registry,File: data/domain_registry.json,Ontology and Truth Models,Defines or inventories domain_registry,Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,51,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0064,relationship_types.json,data,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,relationship_types,File: data/relationship_types.json,"Executive, Board and Governance",Defines or inventories relationship_types,"Executive, Board and Governance",FS-9000,Post–Volume 10 institutional intelligence package,Canonical Input,23,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0065,$ DISPATCH_OS_REMAINING_ROADMAP(1).md,root,$ DISPATCH_OS_REMAINING_ROADMAP(1).md,DISPATCH_OS_REMAINING_ROADMAP.md,Entire file,Workflows,Defines or inventories DISPATCH_OS_REMAINING_ROADMAP.md,Workflows,FS-4000,Immediate post–Volume X roadmap,Historical Foundation,70,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0066,008_FINTECH_ECOSYSTEM(2).md,root,008_FINTECH_ECOSYSTEM(2).md,008_FINTECH_ECOSYSTEM.md,Entire file,Workflows,Defines or inventories 008_FINTECH_ECOSYSTEM.md,Workflows,FS-4000,Post–Volume 10 ecosystem document,Superseded,73,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0067,009_CREDIT_UNION_ECOSYSTEM.md,embedded_segments,fintech venture vendor side (1)(1).md,009_CREDIT_UNION_ECOSYSTEM.md,Lines 1-2396,Ecosystem Documents,Defines or inventories 009 Credit Union Ecosystem,Ecosystem Documents,FS-4000,Large concatenated post–Volume 10 source compilation,Superseded,88,Medium,,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0068,010_CAPITAL_MARKETS_ECOSYSTEM.md,embedded_segments,fintech venture vendor side (1)(1).md,010_CAPITAL_MARKETS_ECOSYSTEM.md,Lines 2397-22448,Ecosystem Documents,Defines or inventories 010 Capital Markets Ecosystem,Ecosystem Documents,FS-6000,Large concatenated post–Volume 10 source compilation,Superseded,88,Medium,,fixtures and sample outputs,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
