artifact,narrative completeness,ontology completeness,object completeness,workflow completeness,agent completeness,evidence and approval completeness,schema completeness,API/event completeness,fixture completeness,test completeness,security completeness,operational completeness,validation completeness,overall maturity,maturity rationale
PV10-0001 | MASTER_PRODUCT_AND_INTELLIGENCE_MAP.md,68,40,45,60,35,45,35,30,25,25,35,42,25,60,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0002 | SCOPE_AND_NON_GOALS.md,46,20,23,20,38,23,15,10,10,10,15,20,10,38,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0003 | RFC-11000.md,58,30,35,50,25,35,25,20,15,15,25,32,15,50,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0004 | RFC-11001.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0005 | RFC-11002.md,55,27,47,29,22,32,22,17,12,12,22,29,12,47,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0006 | RFC-11003.md,49,21,26,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0007 | RFC-11004.md,40,20,20,20,15,20,15,10,10,10,15,20,10,32,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0008 | RFC-11005.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0009 | RFC-11006.md,61,33,38,35,28,38,28,23,18,18,28,35,18,53,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0010 | RFC-11007.md,49,21,41,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0011 | RFC-11008.md,52,24,44,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0012 | RFC-11009.md,49,21,26,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0013 | RFC-11010.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0014 | RFC-11011.md,34,20,20,20,15,20,15,10,10,10,15,20,10,26,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0015 | RFC-11012.md,34,20,20,20,15,20,15,10,10,10,15,20,10,26,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0016 | RFC-11013.md,40,20,20,32,15,20,15,10,10,10,15,20,10,32,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0017 | RFC-11014.md,37,20,29,20,15,20,15,10,10,10,15,20,10,29,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0018 | RFC-11015.md,61,33,38,35,28,38,28,23,18,18,28,35,18,53,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0019 | CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,52,49,44,26,19,29,19,14,10,10,19,26,10,44,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0020 | COOPERATIVE_FINANCE_AND_CUSOS.md,37,34,29,20,15,20,15,10,10,10,15,20,10,29,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0021 | CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,31,28,23,20,15,20,15,10,10,10,15,20,10,23,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0022 | DEPOSITS_TREASURY_AND_LIQUIDITY.md,46,43,38,20,15,23,15,10,10,10,15,20,10,38,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0023 | FINANCE_ACCOUNTING_AND_ECONOMICS.md,37,34,29,20,15,20,15,10,10,10,15,20,10,29,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0024 | FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,55,27,32,47,22,32,22,17,12,12,22,29,12,47,"Historical Foundation; assessed against current V1 content-completion standard, not historical labels."
PV10-0025 | INNOVATION_PROCUREMENT_AND_ADOPTION.md,55,52,47,29,22,32,22,17,12,12,22,29,12,47,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0026 | INSTITUTIONS_AND_GOVERNANCE.md,55,27,32,47,22,32,22,17,12,12,22,29,12,47,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0027 | LENDING_CREDIT_AND_SERVICING.md,49,46,41,23,16,26,16,11,10,10,16,23,10,41,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0028 | OPERATIONS_TECHNOLOGY_AND_DATA.md,49,21,26,41,16,26,16,11,10,10,16,23,10,41,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0029 | PAYMENTS_CARDS_AND_MONEY_MOVEMENT.md,46,43,38,20,15,23,15,10,10,10,15,20,10,38,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0030 | RISK_COMPLIANCE_AND_REGULATION.md,49,46,41,23,16,26,16,11,10,10,16,23,10,41,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0031 | WEALTH_BROKERAGE_TRUST_AND_INSURANCE.md,40,37,32,20,15,20,15,10,10,10,15,20,10,32,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0032 | FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,34,31,26,20,15,20,15,10,10,10,15,20,10,26,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0033 | INNOVATION_TO_INSTITUTION_BRIDGE.md,31,28,23,20,15,20,15,10,10,10,15,20,10,23,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0034 | INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,34,31,26,20,15,20,15,10,10,10,15,20,10,26,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0035 | LENDING_CREDIT_TRUTH_MODEL.md,28,25,20,20,15,20,15,10,10,10,15,20,10,20,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0036 | PARTNERSHIP_PILOT_INVESTMENT_TRUTH_MODEL.md,28,25,20,20,15,20,15,10,10,10,15,20,10,20,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0037 | REGULATORY_INTELLIGENCE_TRUTH_MODEL.md,34,20,20,26,15,20,15,10,10,10,15,20,10,26,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0038 | EVIDENCE_CONFIDENCE_AND_FRESHNESS.md,31,20,20,20,15,20,15,10,10,10,15,20,10,23,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0039 | INSTITUTIONAL_RULE_LIBRARY.md,55,27,32,29,22,32,22,17,12,12,22,29,12,47,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0040 | READINESS_AND_FIT_SCORING.md,55,27,47,29,22,32,22,17,12,12,22,29,12,47,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0041 | 01_PUBLIC_INSTITUTION_PROFILE.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0042 | 02_PRIVATE_TERMINAL_ONBOARDING.md,49,21,26,23,41,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0043 | 03_FINTECH_QUALIFICATION.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0044 | 04_INSTITUTION_FINTECH_MATCH.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0045 | 05_PILOT_EXECUTION.md,46,20,23,20,38,23,15,10,10,10,15,20,10,38,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0046 | 06_VENDOR_DUE_DILIGENCE.md,46,20,23,20,38,23,15,10,10,10,15,20,10,38,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0047 | 07_CUSO_PARTNERSHIP.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0048 | 08_INVESTMENT_COMMITTEE.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0049 | 09_REGULATORY_CHANGE.md,43,20,20,35,15,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0050 | 10_AURIC_PUBLICATION.md,43,20,20,20,35,20,15,10,10,10,15,20,10,35,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0051 | AGENT_CATALOG.csv,68,40,45,60,35,45,35,30,25,25,35,42,25,60,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0052 | AGENT_LIBRARY_SPEC.md,40,20,20,20,32,20,15,10,10,10,15,20,10,32,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0053 | MARKET_GRAPH_SCHEMA.md,49,21,41,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0054 | PROFILE_SCHEMAS.md,58,30,35,50,25,35,25,20,15,15,25,32,15,50,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0055 | CONNECTOR_PRIORITY_BACKLOG.md,58,30,50,32,25,35,25,20,15,15,25,32,15,50,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0056 | PUBLIC_SOURCE_MAP.md,68,40,60,42,35,45,35,30,25,25,35,42,25,60,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0057 | ACCEPTANCE_TESTS.md,52,24,44,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0058 | CLAUDE_NEXT_THREAD_PROMPT.md,49,21,41,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0059 | IMPLEMENTATION_BACKLOG.md,52,24,29,44,19,29,19,14,10,10,19,26,10,44,"Historical Foundation; assessed against current V1 content-completion standard, not historical labels."
PV10-0060 | WEEK_COMPLETION_PLAN.md,58,30,35,50,25,35,25,20,15,15,25,32,15,50,"Historical Foundation; assessed against current V1 content-completion standard, not historical labels."
PV10-0061 | MANIFEST.json,68,40,45,60,35,45,35,30,25,25,35,42,25,60,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0062 | README.md,65,37,42,57,32,42,32,27,22,22,32,39,22,57,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0063 | domain_registry.json,59,56,51,33,26,36,26,21,16,16,26,33,16,51,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0064 | relationship_types.json,31,20,20,20,15,20,15,10,10,10,15,20,10,23,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0065 | $ DISPATCH_OS_REMAINING_ROADMAP(1).md,78,50,55,70,45,55,45,40,35,35,45,52,35,70,"Historical Foundation; assessed against current V1 content-completion standard, not historical labels."
PV10-0066 | 008_FINTECH_ECOSYSTEM(2).md,81,53,58,73,48,58,48,43,38,38,48,55,38,73,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0067 | 009_CREDIT_UNION_ECOSYSTEM.md,95,93,88,70,63,73,63,58,53,53,63,70,53,88,"Source Compilation; assessed against current V1 content-completion standard, not historical labels."
PV10-0068 | 010_CAPITAL_MARKETS_ECOSYSTEM.md,95,93,88,70,63,73,63,58,53,53,63,70,53,88,"Source Compilation; assessed against current V1 content-completion standard, not historical labels."
